2024-06-03 18:10:32,920 INFO  CentralNavigationComponent - Initializing CNC-Navigation
2024-06-03 18:10:33,135 INFO  ExtendedGraphHopper - start creating graph from database
2024-06-03 18:10:33,160 INFO  LocationIndexTree - location index created in 0.003539756s, size:11, leafs:4, precision:300, depth:1, checksum:5, entries:[4], entriesPerLeaf:2.75
2024-06-03 18:10:33,161 INFO  PrepareRoutingSubnetworks - start finding subnetworks (min:200, min one way:0) totalMB:186, usedMB:54
2024-06-03 18:10:33,162 INFO  PrepareRoutingSubnetworks - 1 subnetworks found for car, totalMB:186, usedMB:54
2024-06-03 18:10:33,162 INFO  PrepareRoutingSubnetworks - 1 subnetworks found for bike, totalMB:186, usedMB:54
2024-06-03 18:10:33,162 INFO  PrepareRoutingSubnetworks - optimize to remove subnetworks (1), unvisited-dead-end-nodes (0), maxEdges/node (8)
2024-06-03 18:10:33,163 INFO  ExtendedGraphHopper - edges: 8, nodes 5, there were 1 subnetworks. removed them => 0 less nodes
2024-06-03 18:10:33,163 INFO  ExtendedGraphHopper - flushing graph car,bike|RAM|3D|turn_cost|5,15,4,3,3, details:edges:8(1MB), nodes:5(1MB), name:(1MB), geo:4(1MB), bounds:-8.432082214984689,-8.429684057896335,41.55321701508015,41.55501839986629,0.0,0.0, totalMB:186, usedMB:54)
2024-06-03 18:10:33,163 INFO  ExtendedGraphHopper - flushed graph totalMB:186, usedMB:54)
2024-06-03 18:10:33,163 INFO  CentralNavigationComponent - CNC - Navigation-System initialized
2024-06-03 18:10:33,167 INFO  CentralNavigationComponent - Sending vehicle routes initialization
